unity_time,python_time,latency_ms,fps,num_hands,num_joints
11.338761,72768.341525,-72757002.76,0.09,1,21
11.379484,72768.415752,-72757036.27,24.56,1,21
11.421568,72768.459218,-72757037.65,23.76,1,21
11.463916,72768.501285,-72757037.37,23.61,1,21
11.508459,72768.543600,-72757035.14,22.45,1,21
11.552891,72768.588286,-72757035.40,22.51,1,21
11.599542,72768.632682,-72757033.14,21.44,1,21
11.643635,72768.679327,-72757035.69,22.68,1,21
11.686103,72768.723423,-72757037.32,23.55,1,21
11.745774,72768.765990,-72757020.22,16.76,1,21
11.802894,72768.825725,-72757022.83,17.51,1,21
11.861027,72768.882656,-72757021.63,17.20,1,21
11.917862,72768.940756,-72757022.89,17.60,1,21
11.973995,72768.997632,-72757023.64,17.81,1,21
12.024752,72769.053860,-72757029.11,19.70,1,21
12.082089,72769.104911,-72757022.82,17.44,1,21
12.136655,72769.161895,-72757025.24,18.33,1,21
12.193416,72769.216577,-72757023.16,17.62,1,21
12.247155,72769.273177,-72757026.02,18.61,1,21
12.302187,72769.327027,-72757024.84,18.17,1,21
12.355349,72769.381926,-72757026.58,18.81,1,21
12.410015,72769.435182,-72757025.17,18.29,1,21
12.462277,72769.489894,-72757027.62,19.13,1,21
12.514284,72769.542024,-72757027.74,19.23,1,21
12.568845,72769.593989,-72757025.14,18.33,1,21
12.618607,72769.648574,-72757029.97,20.10,1,21
12.668403,72769.698263,-72757029.86,20.08,1,21
12.722235,72769.748278,-72757026.04,18.58,1,21
12.778378,72769.802000,-72757023.62,17.81,1,21
12.830198,72769.858436,-72757028.24,19.30,1,21
12.887864,72769.910421,-72757022.56,17.34,1,21
12.946864,72769.967564,-72757020.70,16.95,1,21
12.999422,72770.026726,-72757027.30,19.03,1,21
13.055441,72770.079611,-72757024.17,17.85,1,21
13.107510,72770.135284,-72757027.77,19.21,1,21
13.161227,72770.187326,-72757026.10,18.62,1,21
13.217740,72770.241137,-72757023.40,17.70,1,21
13.276338,72770.297738,-72757021.40,17.07,1,21
13.338208,72770.356255,-72757018.05,16.16,1,21
13.402780,72770.418200,-72757015.42,15.49,1,21
13.462970,72770.482835,-72757019.86,16.61,1,21
13.533061,72770.543034,-72757009.97,14.27,1,21
13.592948,72770.612935,-72757019.99,16.70,1,21
13.653603,72770.672950,-72757019.35,16.49,1,21
13.715447,72770.734032,-72757018.59,16.17,1,21
13.777558,72770.795663,-72757018.11,16.10,1,21
13.836742,72770.857541,-72757020.80,16.90,1,21
13.903721,72770.916931,-72757013.21,14.93,1,21
13.965819,72770.983853,-72757018.03,16.10,1,21
14.025711,72771.045955,-72757020.24,16.70,1,21
