unity_time,python_time,latency_ms,fps,num_hands,num_joints
6.717934,73609.518604,-73602800.67,0.15,1,21
6.762715,73609.583392,-73602820.68,22.33,1,21
6.808833,73609.630100,-73602821.27,21.68,1,21
6.855983,73609.676376,-73602820.39,21.21,1,21
6.901567,73609.723426,-73602821.86,21.94,1,21
6.949094,73609.769136,-73602820.04,21.04,1,21
6.994312,73609.816520,-73602822.21,22.11,1,21
7.041675,73609.861903,-73602820.23,21.11,1,21
7.090541,73609.909296,-73602818.76,20.46,1,21
7.136951,73609.958000,-73602821.05,21.55,1,21
7.184884,73610.004259,-73602819.38,20.86,1,21
7.230152,73610.052221,-73602822.07,22.09,1,21
7.278860,73610.097390,-73602818.53,20.53,1,21
7.324497,73610.146481,-73602821.98,21.91,1,21
7.373164,73610.191982,-73602818.82,20.55,1,21
7.420101,73610.240465,-73602820.36,21.31,1,21
7.471014,73610.287422,-73602816.41,19.64,1,21
7.534245,73610.338526,-73602804.28,15.81,1,21
7.593377,73610.401842,-73602808.47,16.91,1,21
7.651718,73610.461461,-73602809.74,17.14,1,21
7.711644,73610.519050,-73602807.41,16.69,1,21
7.770690,73610.579062,-73602808.37,16.94,1,21
7.828514,73610.638264,-73602809.75,17.29,1,21
7.888550,73610.695958,-73602807.41,16.66,1,21
7.945111,73610.756213,-73602811.10,17.68,1,21
8.000932,73610.812455,-73602811.52,17.91,1,21
8.060793,73610.868272,-73602807.48,16.71,1,21
8.118967,73610.928577,-73602809.61,17.19,1,21
8.178085,73610.986624,-73602808.54,16.92,1,21
8.231730,73611.045643,-73602813.91,18.64,1,21
8.290119,73611.099071,-73602808.95,17.13,1,21
8.345180,73611.157639,-73602812.46,18.16,1,21
8.406654,73611.212803,-73602806.15,16.27,1,21
8.466440,73611.274276,-73602807.84,16.73,1,21
8.531820,73611.333864,-73602802.04,15.30,1,21
8.593974,73611.399237,-73602805.26,16.09,1,21
8.658481,73611.461550,-73602803.07,15.50,1,21
8.723138,73611.526328,-73602803.19,15.47,1,21
8.786017,73611.590641,-73602804.62,15.90,1,21
8.842358,73611.653654,-73602811.30,17.75,1,21
8.904597,73611.709896,-73602805.30,16.07,1,21
8.968966,73611.771920,-73602802.95,15.54,1,21
9.027017,73611.836495,-73602809.48,17.23,1,21
9.091174,73611.894689,-73602803.51,15.59,1,21
9.151547,73611.958630,-73602807.08,16.56,1,21
9.215081,73612.019169,-73602804.09,15.74,1,21
9.279451,73612.082692,-73602803.24,15.54,1,21
9.336708,73612.147141,-73602810.43,17.47,1,21
9.399176,73612.204327,-73602805.15,16.01,1,21
9.460272,73612.266593,-73602806.32,16.37,1,21
9.521506,73612.327648,-73602806.14,16.33,1,21
9.586093,73612.389283,-73602803.19,15.48,1,21
9.646251,73612.453507,-73602807.26,16.62,1,21
9.707401,73612.513685,-73602806.28,16.35,1,21
9.767503,73612.574730,-73602807.23,16.64,1,21
9.823351,73612.635004,-73602811.65,17.91,1,21
9.881099,73612.690704,-73602809.61,17.32,1,21
9.933544,73612.748438,-73602814.89,19.07,1,21
9.992571,73612.800881,-73602808.31,16.94,1,21
10.057210,73612.860176,-73602802.97,15.47,1,21
10.116817,73612.924701,-73602807.88,16.78,1,21
10.180035,73612.984633,-73602804.60,15.82,1,21
10.240870,73613.047630,-73602806.76,16.44,1,21
10.294156,73613.108139,-73602813.98,18.77,1,21
10.353395,73613.161774,-73602808.38,16.88,1,21
10.407442,73613.220789,-73602813.35,18.50,1,21
10.465332,73613.275151,-73602809.82,17.27,1,21
10.520182,73613.332799,-73602812.62,18.23,1,21
10.571572,73613.387805,-73602816.23,19.46,1,21
10.630532,73613.439188,-73602808.66,16.96,1,21
10.686369,73613.497880,-73602811.51,17.91,1,21
10.745339,73613.553734,-73602808.39,16.96,1,21
10.801949,73613.612739,-73602810.79,17.66,1,21
10.858887,73613.669252,-73602810.36,17.56,1,21
10.920833,73613.726452,-73602805.62,16.14,1,21
10.976625,73613.788410,-73602811.79,17.92,1,21
11.029258,73613.843923,-73602814.66,19.00,1,21
11.083511,73613.896657,-73602813.15,18.43,1,21
11.137402,73613.951159,-73602813.76,18.56,1,21
11.197504,73614.004942,-73602807.44,16.64,1,21
11.252411,73614.064832,-73602812.42,18.21,1,21
11.307553,73614.119785,-73602812.23,18.14,1,21
11.362442,73614.174980,-73602812.54,18.22,1,21
11.420326,73614.230013,-73602809.69,17.28,1,21
11.480365,73614.287824,-73602807.46,16.66,1,21
11.531890,73614.347818,-73602815.93,19.41,1,21
11.587731,73614.399103,-73602811.37,17.91,1,21
11.641381,73614.455086,-73602813.70,18.64,1,21
11.695408,73614.508675,-73602813.27,18.51,1,21
11.749125,73614.562743,-73602813.62,18.62,1,21
11.804900,73614.616638,-73602811.74,17.93,1,21
11.864289,73614.672350,-73602808.06,16.84,1,21
11.917050,73614.731666,-73602814.62,18.95,1,21
11.966578,73614.784373,-73602817.79,20.19,1,21
12.021522,73614.833923,-73602812.40,18.20,1,21
12.077443,73614.888827,-73602811.38,17.88,1,21
12.132878,73614.944955,-73602812.08,18.04,1,21
12.188894,73615.000220,-73602811.33,17.85,1,21
12.240234,73615.056265,-73602816.03,19.48,1,21
12.295784,73615.107638,-73602811.85,18.00,1,21
12.354332,73615.163233,-73602808.90,17.08,1,21
12.412602,73615.221641,-73602809.04,17.16,1,21
12.471995,73615.279817,-73602807.82,16.84,1,21
12.529025,73615.339369,-73602810.34,17.53,1,21
12.584154,73615.396250,-73602812.10,18.14,1,21
12.643136,73615.451732,-73602808.60,16.95,1,21
12.699100,73615.510814,-73602811.71,17.87,1,21
12.757999,73615.566379,-73602808.38,16.98,1,21
12.815300,73615.625277,-73602809.98,17.45,1,21
12.871839,73615.682700,-73602810.86,17.69,1,21
12.933379,73615.739402,-73602806.02,16.25,1,21
12.991793,73615.800703,-73602808.91,17.12,1,21
13.052668,73615.859339,-73602806.67,16.43,1,21
13.109609,73615.919955,-73602810.35,17.56,1,21
13.163952,73615.977148,-73602813.20,18.40,1,21
13.227438,73616.031567,-73602804.13,15.75,1,21
13.279085,73616.094999,-73602815.91,19.36,1,21
13.332650,73616.146581,-73602813.93,18.67,1,21
13.384910,73616.200055,-73602815.14,19.14,1,21
13.439519,73616.252404,-73602812.89,18.31,1,21
13.497716,73616.307115,-73602809.40,17.18,1,21
13.553089,73616.365028,-73602811.94,18.06,1,21
13.610418,73616.420570,-73602810.15,17.44,1,21
13.664992,73616.477810,-73602812.82,18.32,1,21
13.717391,73616.532176,-73602814.78,19.08,1,21
13.778322,73616.584655,-73602806.33,16.41,1,21
13.831752,73616.645780,-73602814.03,18.72,1,21
13.891219,73616.699227,-73602808.01,16.82,1,21
13.947757,73616.758769,-73602811.01,17.69,1,21
14.003573,73616.815170,-73602811.60,17.92,1,21
14.063279,73616.871034,-73602807.76,16.75,1,21
14.122296,73616.930555,-73602808.26,16.94,1,21
14.180845,73616.989833,-73602808.99,17.08,1,21
14.241114,73617.048308,-73602807.19,16.59,1,21
14.301787,73617.108611,-73602806.82,16.48,1,21
14.360628,73617.169339,-73602808.71,17.00,1,21
14.415460,73617.227974,-73602812.51,18.24,1,21
14.475722,73617.282938,-73602807.22,16.59,1,21
14.531472,73617.343143,-73602811.67,17.94,1,21
14.585657,73617.398978,-73602813.32,18.46,1,21
14.645431,73617.453146,-73602807.72,16.73,1,21
14.701720,73617.512737,-73602811.02,17.77,1,21
14.760427,73617.569212,-73602808.78,17.03,1,21
14.815337,73617.628039,-73602812.70,18.21,1,21
14.871630,73617.682777,-73602811.15,17.76,1,21
14.927242,73617.738882,-73602811.64,17.98,1,21
14.981866,73617.794617,-73602812.75,18.31,1,21
15.032326,73617.849150,-73602816.82,19.82,1,21
15.084967,73617.899810,-73602814.84,19.00,1,21
15.138629,73617.952423,-73602813.79,18.64,1,21
15.197120,73618.006292,-73602809.17,17.10,1,21
15.254158,73618.064508,-73602810.35,17.53,1,21
15.311465,73618.121641,-73602810.18,17.45,1,21
15.366854,73618.178971,-73602812.12,18.05,1,21
15.419310,73618.234138,-73602814.83,19.06,1,21
15.472731,73618.286461,-73602813.73,18.72,1,21
15.529457,73618.340033,-73602810.58,17.63,1,21
15.584781,73618.396651,-73602811.87,18.08,1,21
15.638765,73618.451954,-73602813.19,18.52,1,21
15.692477,73618.506025,-73602813.55,18.62,1,21
15.751051,73618.559809,-73602808.76,17.07,1,21
15.814641,73618.618434,-73602803.79,15.73,1,21
15.872687,73618.682036,-73602809.35,17.23,1,21
15.928995,73618.739755,-73602810.76,17.76,1,21
15.985148,73618.796322,-73602811.17,17.81,1,21
16.040198,73618.852480,-73602812.28,18.17,1,21
16.095805,73618.907419,-73602811.61,17.98,1,21
16.147657,73618.963026,-73602815.37,19.29,1,21
16.200514,73619.014790,-73602814.28,18.92,1,21
16.258938,73619.067844,-73602808.91,17.12,1,21
16.315134,73619.126380,-73602811.25,17.79,1,21
16.378175,73619.182236,-73602804.06,15.86,1,21
16.431129,73619.242340,-73602811.21,18.88,1,21
16.487223,73619.298202,-73602810.98,17.83,1,21
16.545363,73619.354597,-73602809.23,17.20,1,21
16.598899,73619.412522,-73602813.62,18.68,1,21
16.659008,73619.466079,-73602807.07,16.64,1,21
16.713799,73619.526223,-73602812.42,18.25,1,21
16.773697,73619.581194,-73602807.50,16.70,1,21
