unity_time,python_time,latency_ms,fps,num_hands,num_joints
11.901052,75414.423043,-75402521.99,0.08,1,21
11.941744,75414.472522,-75402530.78,24.57,1,21
11.983902,75414.515532,-75402531.63,23.72,1,21
12.023814,75414.557747,-75402533.93,25.06,1,21
12.068235,75414.597699,-75402529.46,22.51,1,21
12.111361,75414.642066,-75402530.70,23.19,1,21
12.158822,75414.685451,-75402526.63,21.07,1,21
12.204343,75414.732812,-75402528.47,21.97,1,21
12.249804,75414.778267,-75402528.46,22.00,1,21
12.295627,75414.823651,-75402528.02,21.82,1,21
12.340606,75414.869531,-75402528.92,22.23,1,21
12.390469,75414.914503,-75402524.03,20.06,1,21
12.437671,75414.964543,-75402526.87,21.19,1,21
12.485340,75415.011652,-75402526.31,20.98,1,21
12.532400,75415.059204,-75402526.80,21.25,1,21
12.578737,75415.106255,-75402527.52,21.58,1,21
12.626791,75415.152594,-75402525.80,20.81,1,21
12.673613,75415.200764,-75402527.15,21.36,1,21
12.721897,75415.247546,-75402525.65,20.71,1,21
12.766867,75415.295663,-75402528.80,22.24,1,21
12.811906,75415.340716,-75402528.81,22.20,1,21
12.857561,75415.385872,-75402528.31,21.90,1,21
12.903945,75415.431509,-75402527.56,21.56,1,21
12.950031,75415.477904,-75402527.87,21.70,1,21
12.998952,75415.523813,-75402524.86,20.44,1,21
13.050702,75415.572882,-75402522.18,19.32,1,21
13.098057,75415.624504,-75402526.45,21.12,1,21
13.144042,75415.671881,-75402527.84,21.75,1,21
13.192655,75415.718025,-75402525.37,20.57,1,21
13.237637,75415.766661,-75402529.02,22.23,1,21
13.287261,75415.811758,-75402524.50,20.15,1,21
13.333620,75415.861158,-75402527.54,21.57,1,21
13.380801,75415.907439,-75402526.64,21.19,1,21
13.435102,75415.954652,-75402519.55,18.42,1,21
13.491257,75416.009006,-75402517.75,17.81,1,21
13.544265,75416.065261,-75402521.00,18.87,1,21
13.597017,75416.118341,-75402521.32,18.96,1,21
13.657886,75416.170987,-75402513.10,16.43,1,21
13.715675,75416.231770,-75402516.10,17.30,1,21
13.779233,75416.289561,-75402510.33,15.73,1,21
13.840137,75416.353281,-75402513.14,16.42,1,21
13.895191,75416.414167,-75402518.98,18.16,1,21
13.946911,75416.469142,-75402522.23,19.33,1,21
14.000018,75416.520801,-75402520.78,18.83,1,21
14.052065,75416.573909,-75402521.84,19.21,1,21
14.108034,75416.625925,-75402517.89,17.87,1,21
14.161062,75416.682079,-75402521.02,18.86,1,21
14.217552,75416.735251,-75402517.70,17.70,1,21
14.267941,75416.791432,-75402523.49,19.85,1,21
14.316893,75416.841851,-75402524.96,20.43,1,21
14.369181,75416.890840,-75402521.66,19.12,1,21
14.422487,75416.943155,-75402520.67,18.76,1,21
14.473804,75416.996370,-75402522.57,19.49,1,21
14.532989,75417.048050,-75402515.06,16.90,1,21
14.588697,75417.107139,-75402518.44,17.95,1,21
14.642395,75417.162786,-75402520.39,18.62,1,21
14.694966,75417.216506,-75402521.54,19.02,1,21
14.744185,75417.268820,-75402524.63,20.32,1,21
14.796182,75417.318198,-75402522.02,19.23,1,21
14.851400,75417.370107,-75402518.71,18.11,1,21
14.900457,75417.425444,-75402524.99,20.38,1,21
14.954714,75417.474270,-75402519.56,18.43,1,21
15.005124,75417.528696,-75402523.57,19.84,1,21
15.060013,75417.579143,-75402519.13,18.22,1,21
15.121328,75417.634205,-75402512.88,16.31,1,21
15.174934,75417.695396,-75402520.46,18.65,1,21
15.231127,75417.748905,-75402517.78,17.80,1,21
15.281894,75417.805062,-75402523.17,19.70,1,21
15.339541,75417.855706,-75402516.17,17.35,1,21
15.391730,75417.913446,-75402521.72,19.16,1,21
15.447557,75417.965805,-75402518.25,17.91,1,21
15.505746,75418.021471,-75402515.73,17.19,1,21
15.559312,75418.079575,-75402520.26,18.67,1,21
15.616244,75418.133418,-75402517.17,17.56,1,21
15.670811,75418.190129,-75402519.32,18.33,1,21
15.726858,75418.244832,-75402517.97,17.84,1,21
15.786028,75418.300728,-75402514.70,16.90,1,21
15.833585,75418.356898,-75402523.31,21.03,1,21
15.887122,75418.407649,-75402520.53,18.68,1,21
15.937933,75418.461036,-75402523.10,19.68,1,21
15.991013,75418.511818,-75402520.80,18.84,1,21
16.044523,75418.564960,-75402520.44,18.69,1,21
16.098058,75418.618614,-75402520.56,18.68,1,21
16.150979,75418.671930,-75402520.95,18.90,1,21
16.205675,75418.724849,-75402519.17,18.28,1,21
16.257550,75418.779514,-75402521.96,19.28,1,21
16.309362,75418.831576,-75402522.21,19.30,1,21
16.364706,75418.883231,-75402518.53,18.07,1,21
16.416951,75418.938471,-75402521.52,19.14,1,21
16.469931,75418.990779,-75402520.85,18.87,1,21
16.526122,75419.043962,-75402517.84,17.80,1,21
16.576178,75419.100118,-75402523.94,19.98,1,21
16.653037,75419.150045,-75402497.01,13.01,1,21
16.706415,75419.226843,-75402520.43,18.73,1,21
16.758321,75419.280254,-75402521.93,19.27,1,21
16.812605,75419.332286,-75402519.68,18.42,1,21
16.865139,75419.386490,-75402521.35,19.04,1,21
16.918982,75419.439050,-75402520.07,18.57,1,21
16.973333,75419.492818,-75402519.48,18.40,1,21
17.026146,75419.547482,-75402521.34,18.93,1,21
17.081925,75419.600044,-75402518.12,17.93,1,21
17.133790,75419.655884,-75402522.09,19.28,1,21
17.186808,75419.707698,-75402520.89,18.86,1,21
17.240395,75419.760738,-75402520.34,18.66,1,21
17.290481,75419.814304,-75402523.82,19.97,1,21
17.342714,75419.864537,-75402521.82,19.14,1,21
17.396023,75419.916569,-75402520.55,18.76,1,21
17.448643,75419.970172,-75402521.53,19.00,1,21
17.526077,75420.022462,-75402496.38,12.91,1,21
17.579389,75420.100273,-75402520.88,18.76,1,21
17.629670,75420.153244,-75402523.57,19.89,1,21
17.700316,75420.203578,-75402503.26,14.16,2,42
17.770887,75420.274127,-75402503.24,14.17,2,42
17.851337,75420.344823,-75402493.49,12.43,2,42
17.921891,75420.422176,-75402500.28,14.17,2,42
18.005249,75420.495810,-75402490.56,12.00,2,42
18.077822,75420.579069,-75402501.25,13.78,1,21
18.154797,75420.651903,-75402497.11,12.99,2,42
18.228940,75420.728701,-75402499.76,13.49,2,42
18.287887,75420.802939,-75402515.05,16.96,1,21
18.339009,75420.861978,-75402522.97,19.56,1,21
18.415291,75420.912916,-75402497.62,13.11,2,42
18.465956,75420.989311,-75402523.36,19.74,1,21
18.537200,75421.039818,-75402502.62,14.04,2,42
18.589043,75421.111128,-75402522.08,19.29,1,21
18.639368,75421.162942,-75402523.57,19.87,1,21
18.696124,75421.213213,-75402517.09,17.62,1,21
18.770692,75421.269983,-75402499.29,13.41,2,42
18.823463,75421.344571,-75402521.11,18.95,1,21
18.877941,75421.397398,-75402519.46,18.36,1,21
18.950647,75421.451868,-75402501.22,13.75,2,42
19.006324,75421.524433,-75402518.11,17.96,1,21
19.062643,75421.580439,-75402517.80,17.76,1,21
19.113727,75421.636558,-75402522.83,19.58,1,21
19.167593,75421.687845,-75402520.25,18.56,1,21
19.220446,75421.741648,-75402521.20,18.92,1,21
19.274387,75421.794390,-75402520.00,18.54,1,21
19.326988,75421.848321,-75402521.33,19.01,1,21
19.379351,75421.901084,-75402521.73,19.10,1,21
19.430853,75421.953521,-75402522.67,19.42,1,21
19.484873,75422.004942,-75402520.07,18.51,1,21
19.534828,75422.058769,-75402523.94,20.02,1,21
19.587998,75422.108672,-75402520.67,18.81,1,21
19.640210,75422.162144,-75402521.93,19.15,1,21
19.692931,75422.214255,-75402521.32,18.97,1,21
19.743436,75422.266921,-75402523.49,19.80,1,21
19.795402,75422.317405,-75402522.00,19.24,1,21
19.853120,75422.369413,-75402516.29,17.33,1,21
19.906147,75422.426988,-75402520.84,18.86,1,21
19.960072,75422.480323,-75402520.25,18.54,1,21
20.013074,75422.534063,-75402520.99,18.87,1,21
20.069136,75422.586927,-75402517.79,17.84,1,21
20.119179,75422.643195,-75402524.02,19.98,1,21
20.174628,75422.693022,-75402518.39,18.03,1,21
20.231886,75422.748692,-75402516.81,17.46,1,21
20.285253,75422.805800,-75402520.55,18.74,1,21
20.338226,75422.859092,-75402520.87,18.88,1,21
20.390143,75422.912308,-75402522.16,19.26,1,21
20.444208,75422.964264,-75402520.06,18.50,1,21
20.500050,75423.018057,-75402518.01,17.91,1,21
20.553555,75423.074038,-75402520.48,18.69,1,21
20.609115,75423.127359,-75402518.24,18.00,1,21
20.663449,75423.183231,-75402519.78,18.40,1,21
20.713009,75423.237287,-75402524.28,20.18,1,21
20.766136,75423.286948,-75402520.81,18.82,1,21
20.825003,75423.340119,-75402515.12,16.99,1,21
20.878220,75423.398899,-75402520.68,18.79,1,21
20.936982,75423.452333,-75402515.35,17.02,1,21
20.990018,75423.511286,-75402521.27,18.86,1,21
21.043957,75423.564045,-75402520.09,18.54,1,21
21.095067,75423.618258,-75402523.19,19.57,1,21
21.142856,75423.668840,-75402525.98,20.93,1,21
21.198584,75423.717012,-75402518.43,17.94,1,21
21.253842,75423.772855,-75402519.01,18.10,1,21
21.306497,75423.827888,-75402521.39,18.99,1,21
