unity_time,python_time,latency_ms,fps,num_hands,num_joints
26.643805,7675.814734,-7649170.93,0.04,0,0
26.673136,7675.865657,-7649192.52,34.09,0,0
26.705573,7675.895956,-7649190.38,30.83,0,0
26.734547,7675.928503,-7649193.96,34.51,0,0
26.762896,7675.957464,-7649194.57,35.27,0,0
26.793215,7675.985765,-7649192.55,32.98,0,0
26.823304,7676.016049,-7649192.75,33.24,0,0
26.854212,7676.046018,-7649191.81,32.35,0,0
26.886782,7676.076834,-7649190.05,30.70,0,0
26.922718,7676.109630,-7649186.91,27.83,0,0
26.951935,7676.145414,-7649193.48,34.23,0,0
26.980778,7676.174665,-7649193.89,34.67,0,0
27.009461,7676.203507,-7649194.05,34.86,0,0
27.038959,7676.232169,-7649193.21,33.90,0,0
27.066129,7676.261711,-7649195.58,36.81,0,0
27.092300,7676.288919,-7649196.62,38.21,0,0
27.118368,7676.314957,-7649196.59,38.36,0,0
27.145683,7676.341189,-7649195.51,36.61,0,0
27.174758,7676.368595,-7649193.84,34.39,0,0
27.201900,7676.397525,-7649195.63,36.84,0,0
27.227608,7676.424777,-7649197.17,38.90,0,0
27.254351,7676.450336,-7649195.98,37.39,0,0
27.282275,7676.477078,-7649194.80,35.81,0,0
27.307920,7676.504423,-7649196.50,38.99,0,0
27.335459,7676.530859,-7649195.40,36.31,0,0
27.360914,7676.558434,-7649197.52,39.28,0,0
27.387832,7676.583644,-7649195.81,37.15,0,0
27.414630,7676.610508,-7649195.88,37.32,0,0
27.441604,7676.637360,-7649195.76,37.07,0,0
27.475208,7676.664397,-7649189.19,29.76,0,0
27.505952,7676.698168,-7649192.22,32.53,0,0
27.535085,7676.728645,-7649193.56,34.33,0,0
27.565176,7676.758009,-7649192.83,33.23,0,0
27.595537,7676.787947,-7649192.41,32.94,0,0
27.625451,7676.818638,-7649193.19,33.43,0,0
27.653277,7676.848158,-7649194.88,35.94,0,0
27.680212,7676.875961,-7649195.75,37.13,0,0
27.706010,7676.902935,-7649196.93,38.76,0,0
27.733664,7676.928694,-7649195.03,36.16,0,0
27.759189,7676.956529,-7649197.34,39.18,0,0
27.788093,7676.982057,-7649193.96,34.60,0,0
27.815016,7677.010991,-7649195.97,37.14,0,0
27.841227,7677.037783,-7649196.56,38.15,0,0
27.867906,7677.064117,-7649196.21,37.48,0,0
27.893967,7677.090708,-7649196.74,38.37,0,0
27.921978,7677.116694,-7649194.72,35.70,0,0
27.951428,7677.144692,-7649193.26,33.96,0,0
27.980118,7677.174355,-7649194.24,34.86,0,0
28.007735,7677.202882,-7649195.15,36.21,0,0
28.035579,7677.230449,-7649194.87,35.91,0,0
28.061676,7677.258455,-7649196.78,38.32,0,0
28.089477,7677.284461,-7649194.98,35.97,0,0
28.116952,7677.312124,-7649195.17,36.40,0,0
28.144008,7677.339777,-7649195.77,36.96,0,0
28.170083,7677.366885,-7649196.80,38.35,0,0
28.196769,7677.392828,-7649196.06,37.47,0,0
28.223671,7677.419821,-7649196.15,37.17,0,0
28.250878,7677.446542,-7649195.66,36.75,0,0
28.278401,7677.473630,-7649195.23,36.33,0,0
28.304351,7677.501348,-7649197.00,38.54,0,0
28.330465,7677.527335,-7649196.87,38.29,0,0
28.357537,7677.553879,-7649196.34,36.94,0,0
28.384249,7677.580440,-7649196.19,37.44,0,0
28.411865,7677.607033,-7649195.17,36.21,0,0
28.439327,7677.634641,-7649195.31,36.41,0,0
28.465502,7677.662329,-7649196.83,38.20,0,0
28.492406,7677.688924,-7649196.52,37.17,0,0
28.519093,7677.715186,-7649196.09,37.47,0,0
28.544500,7677.741937,-7649197.44,39.36,0,0
28.571065,7677.767314,-7649196.25,37.64,0,0
28.596229,7677.793964,-7649197.73,39.74,0,0
28.623685,7677.819049,-7649195.36,36.42,0,0
28.649753,7677.846452,-7649196.70,38.36,0,0
28.675977,7677.872534,-7649196.56,38.13,0,0
28.702961,7677.898738,-7649195.78,37.06,0,0
28.728894,7677.925795,-7649196.90,38.56,0,0
28.756612,7677.951703,-7649195.09,36.08,0,0
28.784110,7677.979432,-7649195.32,36.37,0,0
28.811288,7678.006934,-7649195.65,36.79,0,0
28.837564,7678.034166,-7649196.60,38.06,0,0
28.863805,7678.060301,-7649196.50,38.11,0,0
28.891246,7678.086896,-7649195.65,36.44,0,0
28.918999,7678.114089,-7649195.09,36.03,0,0
28.945847,7678.141850,-7649196.00,37.25,0,0
28.972326,7678.168633,-7649196.31,37.77,0,0
28.998332,7678.195154,-7649196.82,38.45,0,0
29.024901,7678.221257,-7649196.36,37.64,0,0
29.052871,7678.247758,-7649194.89,35.75,0,0
29.079521,7678.275667,-7649196.15,37.52,0,0
29.104375,7678.302222,-7649197.85,40.24,0,0
29.132112,7678.327418,-7649195.31,36.05,0,0
29.159335,7678.355059,-7649195.72,36.73,0,0
